timestamp,sensor_id,sensor_type,value,factory,line,status
2026-04-26 10:34:21.496415,sensor_0833,pressure,171.88,Factory-B,Line-2,ERROR
2026-04-26 10:34:22.496415,sensor_0196,pressure,168.28,Factory-B,Line-4,ERROR
2026-04-26 10:34:23.496415,sensor_0101,temperature,122.49,Factory-C,Line-1,ERROR
2026-04-26 10:34:24.496415,sensor_0493,humidity,61.76,Factory-D,Line-4,OK
2026-04-26 10:34:25.496415,sensor_0049,humidity,79.54,Factory-A,Line-2,WARN
2026-04-26 10:34:26.496415,sensor_0865,humidity,83.85,Factory-B,Line-1,ERROR
2026-04-26 10:34:27.496415,sensor_0942,pressure,167.2,Factory-B,Line-4,ERROR
2026-04-26 10:34:28.496415,sensor_0926,temperature,25.16,Factory-A,Line-3,OK
2026-04-26 10:34:29.496415,sensor_0704,humidity,63.0,Factory-A,Line-2,OK
2026-04-26 10:34:30.496415,sensor_0008,pressure,126.86,Factory-D,Line-3,WARN
2026-04-26 10:34:31.496415,sensor_0382,humidity,26.54,Factory-B,Line-4,OK
2026-04-26 10:34:32.496415,sensor_0733,humidity,94.91,Factory-A,Line-1,ERROR
2026-04-26 10:34:33.496415,sensor_0614,humidity,81.38,Factory-B,Line-4,ERROR
2026-04-26 10:34:34.496415,sensor_0787,vibration,7.74,Factory-C,Line-3,OK
2026-04-26 10:34:35.496415,sensor_0772,vibration,26.0,Factory-B,Line-4,OK
2026-04-26 10:34:36.496415,sensor_0028,humidity,22.37,Factory-A,Line-1,OK
2026-04-26 10:34:37.496415,sensor_0291,temperature,85.66,Factory-D,Line-3,WARN
2026-04-26 10:34:38.496415,sensor_0950,vibration,38.87,Factory-D,Line-2,OK
2026-04-26 10:34:39.496415,sensor_0388,humidity,90.88,Factory-A,Line-1,ERROR
2026-04-26 10:34:40.496415,sensor_0412,humidity,62.04,Factory-D,Line-1,OK
2026-04-26 10:34:41.496415,sensor_0890,pressure,72.64,Factory-B,Line-1,WARN
2026-04-26 10:34:42.496415,sensor_0345,temperature,72.43,Factory-B,Line-1,WARN
2026-04-26 10:34:43.496415,sensor_0880,vibration,39.59,Factory-D,Line-3,OK
2026-04-26 10:34:44.496415,sensor_0341,vibration,1.78,Factory-B,Line-2,OK
2026-04-26 10:34:45.496415,sensor_0981,vibration,21.33,Factory-D,Line-1,OK
2026-04-26 10:34:46.496415,sensor_0882,vibration,42.53,Factory-A,Line-4,OK
2026-04-26 10:34:47.496415,sensor_0142,humidity,58.63,Factory-D,Line-3,OK
2026-04-26 10:34:48.496415,sensor_0023,humidity,25.06,Factory-B,Line-2,OK
2026-04-26 10:34:49.496415,sensor_0533,humidity,92.68,Factory-C,Line-4,ERROR
2026-04-26 10:34:50.496415,sensor_0750,humidity,57.09,Factory-D,Line-2,OK
2026-04-26 10:34:51.496415,sensor_0124,humidity,57.24,Factory-A,Line-1,OK
2026-04-26 10:34:52.496415,sensor_0816,humidity,84.72,Factory-A,Line-1,ERROR
2026-04-26 10:34:53.496415,sensor_0132,temperature,109.07,Factory-B,Line-1,ERROR
2026-04-26 10:34:54.496415,sensor_0986,temperature,25.36,Factory-A,Line-3,OK
2026-04-26 10:34:55.496415,sensor_0155,vibration,20.91,Factory-B,Line-1,OK
2026-04-26 10:34:56.496415,sensor_0893,temperature,27.5,Factory-A,Line-1,OK
